Artist;Dag;Tid;Scen
M83;torsdag;16.25;Flamingo
The Last Shadow Puppets;torsdag;18.45;Flamingo
Morrissey;torsdag;21.15;Flamingo
Jason Isbell;torsdag;15.20;Azalea
Chvrches;torsdag;17.40;Azalea
The Libertines;torsdag;20.00;Azalea
Basia Bulat;torsdag;14.30;Linné
Daughter;torsdag;15.50;Linné
Laura Mvula;torsdag;17.15;Linné
Anna von Hausswolff;torsdag;18.40;Linné
Chelsea Wolfe;torsdag;20.15;Linné
Kaytranada;torsdag;21.45;Linné
Ishivu;torsdag;14.00;Dungen
TalaBoman (John Talabot & Axel Boman);torsdag;15.00;Dungen
Paula Temple;torsdag;17.45;Dungen
Jessie Granqvist;torsdag;19.00;Dungen
Kablam;torsdag;20.15;Dungen
Josefine Hellström Hansson;torsdag;21.30;Dungen
Vasas flora och fauna;torsdag;14.30;Höjden
Kent Wisti: Människan och världen i det här jävla landet;torsdag;15.30;Höjden
Hi-Fi Scenen: Beach Slang;torsdag;16.15;Höjden
Vad kan vi lära av Muhammed Ali om kampen mot rasism?;torsdag;17.15;Höjden
Brandtal torsdag;torsdag;18.15;Höjden
Martin Schibbye och Betlehem Isaak;torsdag;19.00;Höjden
Kip Andersen;torsdag;20.00;Höjden
Adam Olenius;torsdag;21.00;Höjden
James Bay;fredag;15.00;Flamingo
Grace Jones;fredag;17.20;Flamingo
The Tallest Man On Earth;fredag;19.50;Flamingo
PJ Harvey;fredag;22.30;Flamingo
Anderson .Paak & The Free Nationals;fredag;13.45;Azalea
G-Eazy;fredag;16.15;Azalea
Zara Larsson;fredag;18.40;Azalea
ANOHNI;fredag;21.00;Azalea
Erik Lundin;fredag;12.45;Linné
Kamasi Washington;fredag;15.00;Linné
Julia Holter;fredag;16.30;Linné
Aurora;fredag;18.00;Linné
Nicole Sabouné;fredag;19.30;Linné
Hurula;fredag;21.10;Linné
Yung Lean;fredag;23.00;Linné
PURPURR PURPLE;fredag;12.00;Dungen
Samo DJ;fredag;13.30;Dungen
Floating Points;fredag;15.45;Dungen
Jessy Lanza;fredag;17.30;Dungen
Sevdaliza;fredag;19.00;Dungen
Gander/Örnell;fredag;20.15;Dungen
Shakarchi & Stranéus;fredag;21.45;Dungen
José González;fredag;12.30;Höjden
Peder Stenberg tar ett snack med miljöminister Karolina Skog;fredag;13.30;Höjden
Hi-Fi Scenen: Artist Talk Little Jinder;fredag;14.30;Höjden
Två hjul som förändrar världen;fredag;15.30;Höjden
Pär Holmgren: Det minsta vi kan göra är så mycket som möjligt;fredag;16.30;Höjden
Elin Berge: Klä på eller klä av – Att vara kvinna i det offentliga rummet;fredag;17.30;Höjden
Brandtal fredag;fredag;18.10;Höjden
Po Tidholm: Resten av Sverige;fredag;19.00;Höjden
Vad kan vi göra bortom Lampedusa?;fredag;20.00;Höjden
Wildbirds & Peacedrums;fredag;21.15;Höjden
Ane Brun;lördag;15.10;Flamingo
Big Sean;lördag;17.40;Flamingo
Seinabo Sey;lördag;20.15;Flamingo
SIA;lördag;23.00;Flamingo
Eagles of Death Metal;lördag;14.00;Azalea
Deportees;lördag;16.25;Azalea
Jamie xx;lördag;18.45;Azalea
Massive Attack & Young Fathers;lördag;21.40;Azalea
Daniel Norgren;lördag;12.45;Linné
Beth Orton;lördag;14.45;Linné
Jack Garratt;lördag;16.30;Linné
Descendents;lördag;18.00;Linné
Stormzy;lördag;19.30;Linné
Travi$ Scott;lördag;20.50;Linné
Skepta;lördag;23.00;Linné
Mai Nestor;lördag;12.00;Dungen
Audur;lördag;14.15;Dungen
Nao;lördag;15.45;Dungen
Mura Masa;lördag;17.15;Dungen
Kenton Slash Demon;lördag;18.30;Dungen
Toxe;lördag;20.15;Dungen
Johanna Knutsson;lördag;21.45;Dungen
Amanda Bergman;lördag;12.30;Höjden
Alex och Sigge: Mjölken;lördag;14.00;Höjden
Vilket ökar - trakasserierna eller anmälningarna?;lördag;15.00;Höjden
Hi-Fi Scenen: Artist Talk El Perro Del Mar;lördag;16.00;Höjden
Mat och klimat - ångest eller möjlighet?;lördag;17.00;Höjden
Ett nytt Sverige, med Sveriges Radio P4;lördag;18.00;Höjden
Brandtal lördag;lördag;18.45;Höjden
Q&A med Johan Renck – från Stakka Bo till Bowie;lördag;19.30;Höjden
West Pride Talkshow;lördag;20.30;Höjden
Henry Rollins;lördag;22.00;Höjden